start_time,away_team,away_team_score,home_team,home_team_score,home_team_win?
2016-10-25 23:30:00+00:00,NEW YORK KNICKS,88,CLEVELAND CAVALIERS,117,True
2016-10-26 02:00:00+00:00,UTAH JAZZ,104,PORTLAND TRAIL BLAZERS,113,True
2016-10-26 02:30:00+00:00,SAN ANTONIO SPURS,129,GOLDEN STATE WARRIORS,100,False
2016-10-26 23:00:00+00:00,DALLAS MAVERICKS,121,INDIANA PACERS,130,True
2016-10-26 23:00:00+00:00,MIAMI HEAT,108,ORLANDO MAGIC,96,False
2016-10-26 23:30:00+00:00,DETROIT PISTONS,91,TORONTO RAPTORS,109,True
2016-10-26 23:30:00+00:00,BROOKLYN NETS,117,BOSTON CELTICS,122,True
2016-10-27 00:00:00+00:00,CHARLOTTE HORNETS,107,MILWAUKEE BUCKS,96,False
2016-10-27 00:00:00+00:00,DENVER NUGGETS,107,NEW ORLEANS PELICANS,102,False
2016-10-27 00:00:00+00:00,MINNESOTA TIMBERWOLVES,98,MEMPHIS GRIZZLIES,102,True
2016-10-27 00:00:00+00:00,OKLAHOMA CITY THUNDER,103,PHILADELPHIA 76ERS,97,False
2016-10-27 02:00:00+00:00,SACRAMENTO KINGS,113,PHOENIX SUNS,94,False
2016-10-27 02:30:00+00:00,HOUSTON ROCKETS,114,LOS ANGELES LAKERS,120,True
2016-10-27 23:30:00+00:00,WASHINGTON WIZARDS,99,ATLANTA HAWKS,114,True
2016-10-28 00:00:00+00:00,BOSTON CELTICS,99,CHICAGO BULLS,105,True
2016-10-28 02:30:00+00:00,LOS ANGELES CLIPPERS,114,PORTLAND TRAIL BLAZERS,106,False
2016-10-28 02:30:00+00:00,SAN ANTONIO SPURS,102,SACRAMENTO KINGS,94,False
2016-10-28 23:00:00+00:00,CLEVELAND CAVALIERS,94,TORONTO RAPTORS,91,False
2016-10-28 23:30:00+00:00,INDIANA PACERS,94,BROOKLYN NETS,103,True
2016-10-28 23:30:00+00:00,ORLANDO MAGIC,82,DETROIT PISTONS,108,True
2016-10-29 00:00:00+00:00,PHOENIX SUNS,110,OKLAHOMA CITY THUNDER,113,True
2016-10-29 00:00:00+00:00,CHARLOTTE HORNETS,97,MIAMI HEAT,91,False
2016-10-29 00:30:00+00:00,HOUSTON ROCKETS,106,DALLAS MAVERICKS,98,False
2016-10-29 01:00:00+00:00,LOS ANGELES LAKERS,89,UTAH JAZZ,96,True
2016-10-29 01:30:00+00:00,GOLDEN STATE WARRIORS,122,NEW ORLEANS PELICANS,114,False
2016-10-29 16:30:00+00:00,ATLANTA HAWKS,104,PHILADELPHIA 76ERS,72,False
2016-10-29 23:00:00+00:00,BOSTON CELTICS,104,CHARLOTTE HORNETS,98,False
2016-10-29 23:30:00+00:00,ORLANDO MAGIC,99,CLEVELAND CAVALIERS,105,True
2016-10-29 23:30:00+00:00,MEMPHIS GRIZZLIES,104,NEW YORK KNICKS,111,True
2016-10-30 00:00:00+00:00,NEW ORLEANS PELICANS,79,SAN ANTONIO SPURS,98,True
2016-10-30 00:00:00+00:00,BROOKLYN NETS,108,MILWAUKEE BUCKS,110,True
2016-10-30 00:00:00+00:00,INDIANA PACERS,101,CHICAGO BULLS,118,True
2016-10-30 01:00:00+00:00,PORTLAND TRAIL BLAZERS,115,DENVER NUGGETS,113,False
2016-10-30 02:30:00+00:00,MINNESOTA TIMBERWOLVES,103,SACRAMENTO KINGS,106,True
2016-10-30 20:30:00+00:00,UTAH JAZZ,75,LOS ANGELES CLIPPERS,88,True
2016-10-30 22:00:00+00:00,MILWAUKEE BUCKS,83,DETROIT PISTONS,98,True
2016-10-30 22:00:00+00:00,SAN ANTONIO SPURS,106,MIAMI HEAT,99,False
2016-10-30 22:00:00+00:00,GOLDEN STATE WARRIORS,106,PHOENIX SUNS,100,False
2016-10-30 23:00:00+00:00,LOS ANGELES LAKERS,96,OKLAHOMA CITY THUNDER,113,True
2016-10-31 00:00:00+00:00,DALLAS MAVERICKS,92,HOUSTON ROCKETS,93,True
2016-10-31 00:00:00+00:00,WASHINGTON WIZARDS,103,MEMPHIS GRIZZLIES,112,True
2016-10-31 23:30:00+00:00,SACRAMENTO KINGS,95,ATLANTA HAWKS,106,True
2016-10-31 23:30:00+00:00,CHICAGO BULLS,118,BROOKLYN NETS,88,False
2016-10-31 23:30:00+00:00,DENVER NUGGETS,102,TORONTO RAPTORS,105,True
2016-11-01 02:30:00+00:00,PHOENIX SUNS,98,LOS ANGELES CLIPPERS,116,True
2016-11-01 22:00:00+00:00,HOUSTON ROCKETS,120,CLEVELAND CAVALIERS,128,True
2016-11-01 23:00:00+00:00,LOS ANGELES LAKERS,108,INDIANA PACERS,115,True
2016-11-01 23:00:00+00:00,ORLANDO MAGIC,103,PHILADELPHIA 76ERS,101,False
2016-11-01 23:30:00+00:00,NEW YORK KNICKS,89,DETROIT PISTONS,102,True
2016-11-01 23:30:00+00:00,SACRAMENTO KINGS,96,MIAMI HEAT,108,True
2016-11-02 00:00:00+00:00,MEMPHIS GRIZZLIES,80,MINNESOTA TIMBERWOLVES,116,True
2016-11-02 00:00:00+00:00,MILWAUKEE BUCKS,117,NEW ORLEANS PELICANS,113,False
2016-11-02 00:30:00+00:00,UTAH JAZZ,106,SAN ANTONIO SPURS,91,False
2016-11-02 02:00:00+00:00,GOLDEN STATE WARRIORS,127,PORTLAND TRAIL BLAZERS,104,False
2016-11-02 23:00:00+00:00,PHILADELPHIA 76ERS,93,CHARLOTTE HORNETS,109,True
2016-11-02 23:00:00+00:00,TORONTO RAPTORS,113,WASHINGTON WIZARDS,103,False
2016-11-02 23:30:00+00:00,LOS ANGELES LAKERS,123,ATLANTA HAWKS,116,False
2016-11-02 23:30:00+00:00,DETROIT PISTONS,101,BROOKLYN NETS,109,True
2016-11-02 23:30:00+00:00,HOUSTON ROCKETS,118,NEW YORK KNICKS,99,False
2016-11-03 00:00:00+00:00,CHICAGO BULLS,100,BOSTON CELTICS,107,True
2016-11-03 00:00:00+00:00,NEW ORLEANS PELICANS,83,MEMPHIS GRIZZLIES,89,True
2016-11-03 01:00:00+00:00,DALLAS MAVERICKS,81,UTAH JAZZ,97,True
2016-11-03 02:00:00+00:00,PORTLAND TRAIL BLAZERS,115,PHOENIX SUNS,118,True
2016-11-03 02:30:00+00:00,OKLAHOMA CITY THUNDER,85,LOS ANGELES CLIPPERS,83,False
2016-11-03 23:00:00+00:00,SACRAMENTO KINGS,94,ORLANDO MAGIC,102,True
2016-11-04 00:00:00+00:00,BOSTON CELTICS,122,CLEVELAND CAVALIERS,128,True
2016-11-04 00:00:00+00:00,INDIANA PACERS,107,MILWAUKEE BUCKS,125,True
2016-11-04 00:00:00+00:00,DENVER NUGGETS,102,MINNESOTA TIMBERWOLVES,99,False
2016-11-04 02:30:00+00:00,OKLAHOMA CITY THUNDER,96,GOLDEN STATE WARRIORS,122,True
2016-11-04 23:00:00+00:00,ATLANTA HAWKS,92,WASHINGTON WIZARDS,95,True
2016-11-04 23:30:00+00:00,CHARLOTTE HORNETS,99,BROOKLYN NETS,95,False
2016-11-04 23:30:00+00:00,MIAMI HEAT,87,TORONTO RAPTORS,96,True
