start_time,away_team,away_team_score,home_team,home_team_score,home_team_win?
2008-10-29 00:00:00+00:00,CLEVELAND CAVALIERS,85,BOSTON CELTICS,90,True
2008-10-29 00:30:00+00:00,MILWAUKEE BUCKS,95,CHICAGO BULLS,108,True
2008-10-29 02:30:00+00:00,PORTLAND TRAIL BLAZERS,76,LOS ANGELES LAKERS,96,True
2008-10-29 22:00:00+00:00,TORONTO RAPTORS,95,PHILADELPHIA 76ERS,84,False
2008-10-29 23:00:00+00:00,NEW JERSEY NETS,95,WASHINGTON WIZARDS,85,False
2008-10-29 23:00:00+00:00,ATLANTA HAWKS,99,ORLANDO MAGIC,85,False
2008-10-29 23:30:00+00:00,MIAMI HEAT,115,NEW YORK KNICKS,120,True
2008-10-30 00:00:00+00:00,PHOENIX SUNS,103,SAN ANTONIO SPURS,98,False
2008-10-30 00:00:00+00:00,MILWAUKEE BUCKS,98,OKLAHOMA CITY THUNDER,87,False
2008-10-30 00:00:00+00:00,SACRAMENTO KINGS,96,MINNESOTA TIMBERWOLVES,98,True
2008-10-30 00:00:00+00:00,INDIANA PACERS,94,DETROIT PISTONS,100,True
2008-10-30 00:30:00+00:00,MEMPHIS GRIZZLIES,71,HOUSTON ROCKETS,82,True
2008-10-30 01:00:00+00:00,DENVER NUGGETS,94,UTAH JAZZ,98,True
2008-10-30 02:30:00+00:00,LOS ANGELES LAKERS,117,LOS ANGELES CLIPPERS,79,False
2008-10-30 02:30:00+00:00,NEW ORLEANS HORNETS,108,GOLDEN STATE WARRIORS,103,False
2008-10-30 23:00:00+00:00,CHARLOTTE BOBCATS,79,CLEVELAND CAVALIERS,96,True
2008-10-31 00:00:00+00:00,HOUSTON ROCKETS,112,DALLAS MAVERICKS,102,False
2008-10-31 02:30:00+00:00,NEW ORLEANS HORNETS,108,PHOENIX SUNS,95,False
2008-10-31 23:00:00+00:00,NEW YORK KNICKS,87,PHILADELPHIA 76ERS,116,True
2008-10-31 23:00:00+00:00,GOLDEN STATE WARRIORS,108,TORONTO RAPTORS,112,True
2008-10-31 23:30:00+00:00,SACRAMENTO KINGS,77,MIAMI HEAT,103,True
2008-11-01 00:00:00+00:00,CHICAGO BULLS,80,BOSTON CELTICS,96,True
2008-11-01 00:00:00+00:00,ORLANDO MAGIC,84,MEMPHIS GRIZZLIES,86,True
2008-11-01 02:30:00+00:00,DENVER NUGGETS,113,LOS ANGELES CLIPPERS,103,False
2008-11-01 02:30:00+00:00,SAN ANTONIO SPURS,99,PORTLAND TRAIL BLAZERS,100,True
2008-11-01 23:00:00+00:00,PHILADELPHIA 76ERS,88,ATLANTA HAWKS,95,True
2008-11-01 23:00:00+00:00,MIAMI HEAT,87,CHARLOTTE BOBCATS,100,True
2008-11-01 23:00:00+00:00,BOSTON CELTICS,79,INDIANA PACERS,95,True
2008-11-01 23:00:00+00:00,SACRAMENTO KINGS,103,ORLANDO MAGIC,121,True
2008-11-01 23:30:00+00:00,WASHINGTON WIZARDS,109,DETROIT PISTONS,117,True
2008-11-01 23:30:00+00:00,GOLDEN STATE WARRIORS,105,NEW JERSEY NETS,97,False
2008-11-02 00:00:00+00:00,DALLAS MAVERICKS,95,MINNESOTA TIMBERWOLVES,85,False
2008-11-02 00:00:00+00:00,CLEVELAND CAVALIERS,92,NEW ORLEANS HORNETS,104,True
2008-11-02 00:30:00+00:00,MEMPHIS GRIZZLIES,86,CHICAGO BULLS,96,True
2008-11-02 00:30:00+00:00,OKLAHOMA CITY THUNDER,77,HOUSTON ROCKETS,89,True
2008-11-02 00:30:00+00:00,TORONTO RAPTORS,91,MILWAUKEE BUCKS,87,False
2008-11-02 01:00:00+00:00,LOS ANGELES LAKERS,104,DENVER NUGGETS,97,False
2008-11-02 01:00:00+00:00,LOS ANGELES CLIPPERS,79,UTAH JAZZ,101,True
2008-11-02 02:00:00+00:00,PORTLAND TRAIL BLAZERS,96,PHOENIX SUNS,107,True
2008-11-02 23:00:00+00:00,MILWAUKEE BUCKS,94,NEW YORK KNICKS,86,False
2008-11-03 00:00:00+00:00,MINNESOTA TIMBERWOLVES,85,OKLAHOMA CITY THUNDER,88,True
2008-11-04 00:00:00+00:00,DETROIT PISTONS,101,CHARLOTTE BOBCATS,83,False
2008-11-04 00:00:00+00:00,CHICAGO BULLS,93,ORLANDO MAGIC,96,True
2008-11-04 00:00:00+00:00,SACRAMENTO KINGS,91,PHILADELPHIA 76ERS,125,True
2008-11-04 01:00:00+00:00,GOLDEN STATE WARRIORS,79,MEMPHIS GRIZZLIES,90,True
2008-11-04 01:30:00+00:00,CLEVELAND CAVALIERS,100,DALLAS MAVERICKS,81,False
2008-11-04 03:30:00+00:00,UTAH JAZZ,89,LOS ANGELES CLIPPERS,73,False
2008-11-05 00:30:00+00:00,PHOENIX SUNS,114,NEW JERSEY NETS,86,False
2008-11-05 01:30:00+00:00,BOSTON CELTICS,103,HOUSTON ROCKETS,99,False
2008-11-05 01:30:00+00:00,DALLAS MAVERICKS,98,SAN ANTONIO SPURS,81,False
2008-11-06 00:00:00+00:00,PHOENIX SUNS,113,INDIANA PACERS,103,False
2008-11-06 00:00:00+00:00,DETROIT PISTONS,100,TORONTO RAPTORS,93,False
2008-11-06 00:30:00+00:00,PHILADELPHIA 76ERS,83,MIAMI HEAT,106,True
