start_time,away_team,away_team_score,home_team,home_team_score,home_team_win?
2011-12-25 17:00:00+00:00,BOSTON CELTICS,104,NEW YORK KNICKS,106,True
2011-12-25 19:30:00+00:00,MIAMI HEAT,105,DALLAS MAVERICKS,94,False
2011-12-25 22:00:00+00:00,CHICAGO BULLS,88,LOS ANGELES LAKERS,87,False
2011-12-26 01:00:00+00:00,ORLANDO MAGIC,89,OKLAHOMA CITY THUNDER,97,True
2011-12-26 03:30:00+00:00,LOS ANGELES CLIPPERS,105,GOLDEN STATE WARRIORS,86,False
2011-12-27 00:00:00+00:00,TORONTO RAPTORS,104,CLEVELAND CAVALIERS,96,False
2011-12-27 00:00:00+00:00,NEW JERSEY NETS,90,WASHINGTON WIZARDS,84,False
2011-12-27 00:00:00+00:00,HOUSTON ROCKETS,95,ORLANDO MAGIC,104,True
2011-12-27 00:00:00+00:00,DETROIT PISTONS,79,INDIANA PACERS,91,True
2011-12-27 00:00:00+00:00,MILWAUKEE BUCKS,95,CHARLOTTE BOBCATS,96,True
2011-12-27 01:00:00+00:00,OKLAHOMA CITY THUNDER,104,MINNESOTA TIMBERWOLVES,100,False
2011-12-27 01:30:00+00:00,DENVER NUGGETS,115,DALLAS MAVERICKS,93,False
2011-12-27 01:30:00+00:00,MEMPHIS GRIZZLIES,82,SAN ANTONIO SPURS,95,True
2011-12-27 02:00:00+00:00,NEW ORLEANS HORNETS,85,PHOENIX SUNS,84,False
2011-12-27 03:00:00+00:00,PHILADELPHIA 76ERS,103,PORTLAND TRAIL BLAZERS,107,True
2011-12-27 03:00:00+00:00,LOS ANGELES LAKERS,91,SACRAMENTO KINGS,100,True
2011-12-27 03:30:00+00:00,CHICAGO BULLS,91,GOLDEN STATE WARRIORS,99,True
2011-12-28 00:30:00+00:00,ATLANTA HAWKS,106,NEW JERSEY NETS,70,False
2011-12-28 01:00:00+00:00,BOSTON CELTICS,107,MIAMI HEAT,115,True
2011-12-28 01:30:00+00:00,MINNESOTA TIMBERWOLVES,95,MILWAUKEE BUCKS,98,True
2011-12-28 03:00:00+00:00,SACRAMENTO KINGS,79,PORTLAND TRAIL BLAZERS,101,True
2011-12-28 03:30:00+00:00,UTAH JAZZ,71,LOS ANGELES LAKERS,96,True
2011-12-28 23:00:00+00:00,INDIANA PACERS,90,TORONTO RAPTORS,85,False
2011-12-29 00:00:00+00:00,MIAMI HEAT,96,CHARLOTTE BOBCATS,95,False
2011-12-29 00:30:00+00:00,WASHINGTON WIZARDS,83,ATLANTA HAWKS,101,True
2011-12-29 00:30:00+00:00,CLEVELAND CAVALIERS,105,DETROIT PISTONS,89,False
2011-12-29 01:00:00+00:00,BOSTON CELTICS,78,NEW ORLEANS HORNETS,97,True
2011-12-29 01:00:00+00:00,OKLAHOMA CITY THUNDER,98,MEMPHIS GRIZZLIES,95,False
2011-12-29 01:30:00+00:00,LOS ANGELES CLIPPERS,90,SAN ANTONIO SPURS,115,True
2011-12-29 02:00:00+00:00,PHILADELPHIA 76ERS,103,PHOENIX SUNS,83,False
2011-12-29 02:00:00+00:00,UTAH JAZZ,100,DENVER NUGGETS,117,True
2011-12-29 03:30:00+00:00,NEW YORK KNICKS,78,GOLDEN STATE WARRIORS,92,True
2011-12-30 00:00:00+00:00,NEW JERSEY NETS,78,ORLANDO MAGIC,94,True
2011-12-30 01:00:00+00:00,SAN ANTONIO SPURS,85,HOUSTON ROCKETS,105,True
2011-12-30 01:00:00+00:00,DALLAS MAVERICKS,102,OKLAHOMA CITY THUNDER,104,True
2011-12-30 03:00:00+00:00,DENVER NUGGETS,102,PORTLAND TRAIL BLAZERS,111,True
2011-12-30 03:00:00+00:00,CHICAGO BULLS,108,SACRAMENTO KINGS,98,False
2011-12-30 03:30:00+00:00,NEW YORK KNICKS,82,LOS ANGELES LAKERS,99,True
2011-12-31 00:00:00+00:00,ORLANDO MAGIC,100,CHARLOTTE BOBCATS,79,False
2011-12-31 00:00:00+00:00,CLEVELAND CAVALIERS,91,INDIANA PACERS,98,True
2011-12-31 00:30:00+00:00,NEW JERSEY NETS,98,ATLANTA HAWKS,105,True
2011-12-31 00:30:00+00:00,DETROIT PISTONS,85,BOSTON CELTICS,96,True
