start_time,away_team,away_team_score,home_team,home_team_score,home_team_win?
2013-11-07 01:00:00+00:00,NEW ORLEANS PELICANS,99,MEMPHIS GRIZZLIES,84,False
2013-11-07 01:00:00+00:00,CLEVELAND CAVALIERS,104,MILWAUKEE BUCKS,109,True
2013-11-07 01:00:00+00:00,GOLDEN STATE WARRIORS,106,MINNESOTA TIMBERWOLVES,93,False
2013-11-07 01:30:00+00:00,PHOENIX SUNS,96,SAN ANTONIO SPURS,99,True
2013-11-07 02:30:00+00:00,DALLAS MAVERICKS,93,OKLAHOMA CITY THUNDER,107,True
2013-11-08 00:00:00+00:00,LOS ANGELES CLIPPERS,97,MIAMI HEAT,102,True
2013-11-08 02:00:00+00:00,ATLANTA HAWKS,107,DENVER NUGGETS,109,True
2013-11-08 02:30:00+00:00,LOS ANGELES LAKERS,99,HOUSTON ROCKETS,98,False
2013-11-09 00:00:00+00:00,NEW YORK KNICKS,101,CHARLOTTE BOBCATS,91,False
2013-11-09 00:00:00+00:00,TORONTO RAPTORS,84,INDIANA PACERS,91,True
2013-11-09 00:00:00+00:00,BOSTON CELTICS,91,ORLANDO MAGIC,89,False
2013-11-09 00:00:00+00:00,CLEVELAND CAVALIERS,79,PHILADELPHIA 76ERS,94,True
2013-11-09 00:00:00+00:00,BROOKLYN NETS,108,WASHINGTON WIZARDS,112,True
2013-11-09 00:30:00+00:00,OKLAHOMA CITY THUNDER,119,DETROIT PISTONS,110,False
2013-11-09 01:00:00+00:00,UTAH JAZZ,73,CHICAGO BULLS,97,True
2013-11-09 01:00:00+00:00,DALLAS MAVERICKS,108,MINNESOTA TIMBERWOLVES,116,True
2013-11-09 01:00:00+00:00,LOS ANGELES LAKERS,85,NEW ORLEANS PELICANS,96,True
2013-11-09 01:30:00+00:00,GOLDEN STATE WARRIORS,74,SAN ANTONIO SPURS,76,True
2013-11-09 02:00:00+00:00,DENVER NUGGETS,103,PHOENIX SUNS,114,True
2013-11-09 03:00:00+00:00,SACRAMENTO KINGS,91,PORTLAND TRAIL BLAZERS,104,True
2013-11-10 00:00:00+00:00,UTAH JAZZ,91,TORONTO RAPTORS,115,True
2013-11-10 00:30:00+00:00,ORLANDO MAGIC,94,ATLANTA HAWKS,104,True
2013-11-10 00:30:00+00:00,INDIANA PACERS,96,BROOKLYN NETS,91,False
2013-11-10 00:30:00+00:00,PHILADELPHIA 76ERS,125,CLEVELAND CAVALIERS,127,True
2013-11-10 00:30:00+00:00,BOSTON CELTICS,111,MIAMI HEAT,110,False
2013-11-10 01:00:00+00:00,LOS ANGELES CLIPPERS,107,HOUSTON ROCKETS,94,False
2013-11-10 01:00:00+00:00,GOLDEN STATE WARRIORS,90,MEMPHIS GRIZZLIES,108,True
2013-11-10 01:30:00+00:00,DALLAS MAVERICKS,91,MILWAUKEE BUCKS,83,False
2013-11-10 03:00:00+00:00,PORTLAND TRAIL BLAZERS,96,SACRAMENTO KINGS,85,False
2013-11-10 17:00:00+00:00,SAN ANTONIO SPURS,120,NEW YORK KNICKS,89,False
2013-11-11 00:00:00+00:00,WASHINGTON WIZARDS,105,OKLAHOMA CITY THUNDER,106,True
2013-11-11 01:00:00+00:00,NEW ORLEANS PELICANS,94,PHOENIX SUNS,101,True
2013-11-11 02:30:00+00:00,MINNESOTA TIMBERWOLVES,113,LOS ANGELES LAKERS,90,False
2013-11-12 00:00:00+00:00,ATLANTA HAWKS,103,CHARLOTTE BOBCATS,94,False
2013-11-12 00:00:00+00:00,MEMPHIS GRIZZLIES,79,INDIANA PACERS,95,True
2013-11-12 00:00:00+00:00,SAN ANTONIO SPURS,109,PHILADELPHIA 76ERS,85,False
2013-11-12 00:30:00+00:00,ORLANDO MAGIC,105,BOSTON CELTICS,120,True
2013-11-12 01:00:00+00:00,CLEVELAND CAVALIERS,81,CHICAGO BULLS,96,True
2013-11-12 01:00:00+00:00,TORONTO RAPTORS,104,HOUSTON ROCKETS,110,True
2013-11-12 02:00:00+00:00,DENVER NUGGETS,100,UTAH JAZZ,81,False
2013-11-12 03:00:00+00:00,DETROIT PISTONS,103,PORTLAND TRAIL BLAZERS,109,True
2013-11-12 03:30:00+00:00,MINNESOTA TIMBERWOLVES,107,LOS ANGELES CLIPPERS,109,True
2013-11-13 00:30:00+00:00,MILWAUKEE BUCKS,95,MIAMI HEAT,118,True
2013-11-13 01:30:00+00:00,WASHINGTON WIZARDS,95,DALLAS MAVERICKS,105,True
2013-11-13 03:30:00+00:00,DETROIT PISTONS,95,GOLDEN STATE WARRIORS,113,True
2013-11-13 03:30:00+00:00,NEW ORLEANS PELICANS,95,LOS ANGELES LAKERS,116,True
2013-11-14 00:00:00+00:00,MILWAUKEE BUCKS,91,ORLANDO MAGIC,94,True
