cumulative_distance,n_game_road_trip,win?
2116,1,1
0,0,1
0,0,0
3030,1,0
3888,2,0
0,0,0
0,0,0
711,1,0
1778,2,1
0,0,0
0,0,0
579,1,0
0,0,0
0,0,0
512,1,0
0,0,0
0,0,0
929,1,0
0,0,1
0,0,0
1078,1,0
0,0,0
817,1,0
2813,2,0
0,0,0
0,0,0
0,0,0
0,0,1
1470,1,1
2650,2,1
4784,3,0
6430,4,0
6614,5,1
7109,6,0
0,0,0
0,0,1
0,0,0
3320,1,0
4099,2,0
5528,3,0
6654,4,1
0,0,0
0,0,0
0,0,0
1884,1,1
0,0,0
0,0,1
0,0,0
2690,1,0
3250,2,1
4113,3,0
5445,4,0
6020,5,0
0,0,1
817,1,0
0,0,1
0,0,0
0,0,1
0,0,1
0,0,1
1046,1,1
1884,2,0
0,0,1
2690,1,0
3250,2,1
5897,3,0
