cumulative_distance,n_game_road_trip,win?
1788,1,1
0,0,1
1056,1,1
2569,2,1
0,0,1
0,0,0
0,0,1
977,1,1
2181,2,1
6306,3,0
6866,4,0
8204,5,0
0,0,1
0,0,1
0,0,1
0,0,0
0,0,1
1863,1,1
0,0,1
0,0,1
0,0,1
2048,1,0
3164,2,1
0,0,1
0,0,1
331,1,0
1553,2,1
2427,3,1
3506,4,1
4226,5,1
4410,6,1
0,0,1
0,0,1
0,0,1
4360,1,1
5383,2,0
6317,3,0
0,0,1
0,0,1
0,0,1
331,1,0
1920,2,0
2990,3,1
0,0,1
0,0,1
1863,1,1
3329,2,0
4975,3,0
0,0,1
1994,1,1
2687,2,0
0,0,1
0,0,1
0,0,0
0,0,1
0,0,0
1920,1,0
0,0,1
1760,1,1
1776,2,1
0,0,1
0,0,1
0,0,0
0,0,1
2028,1,0
2663,2,0
