cumulative_distance,n_game_road_trip,win?
0,0,1
1692,1,1
2023,2,0
0,0,1
693,1,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,1
0,0,1
0,0,1
306,1,1
0,0,1
1185,1,1
0,0,0
3499,1,0
4082,2,1
4940,3,1
0,0,0
0,0,1
306,1,0
0,0,1
551,1,1
0,0,1
0,0,1
333,1,1
0,0,1
702,1,0
3510,2,1
4848,3,1
6430,4,0
7293,5,0
8345,6,0
0,0,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
693,1,1
1591,2,0
3007,3,1
0,0,1
344,1,1
0,0,1
559,1,1
887,2,1
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
1185,1,1
2315,2,0
2827,3,0
3538,4,0
0,0,0
551,1,0
681,2,1
0,0,0
947,1,0
2460,2,0
3139,3,0
0,0,1
0,0,0
344,1,1
0,0,1
702,1,0
0,0,1
333,1,0
0,0,0
0,0,1
0,0,1
1115,1,1
2760,2,0
0,0,0
947,1,1
1694,2,1
2025,3,1
4053,4,0
0,0,1
