cumulative_distance,n_game_road_trip,win?
344,1,0
0,0,0
0,0,0
329,1,1
0,0,1
0,0,1
184,1,0
0,0,1
761,1,1
0,0,1
665,1,0
1735,2,1
0,0,1
307,1,1
0,0,1
3447,1,1
3447,2,1
4779,3,0
5802,4,0
0,0,0
0,0,1
329,1,0
0,0,1
0,0,1
0,0,1
1079,1,0
2097,2,0
0,0,0
1198,1,1
0,0,1
665,1,0
0,0,0
0,0,1
1651,1,0
1982,2,1
2841,3,1
3353,4,0
0,0,1
761,1,0
0,0,0
2132,1,0
3076,2,1
4128,3,0
4249,4,0
0,0,0
0,0,1
0,0,1
0,0,0
500,1,1
1702,2,0
0,0,1
0,0,1
0,0,0
1646,1,1
3351,2,1
3682,3,0
0,0,1
0,0,0
0,0,0
184,1,0
724,2,1
1786,3,0
2317,4,1
0,0,1
1735,1,1
2892,2,0
0,0,1
0,0,0
0,0,0
0,0,1
0,0,1
500,1,0
0,0,1
0,0,0
0,0,0
406,1,1
536,2,1
0,0,1
344,1,0
0,0,1
0,0,1
720,1,1
