cumulative_distance,n_game_road_trip,win?
0,0,1
2393,1,0
3060,2,1
3424,3,0
0,0,0
0,0,0
0,0,0
779,1,1
0,0,1
0,0,1
1621,1,0
0,0,1
3938,1,0
4719,2,0
5355,3,0
5990,4,0
6876,5,1
7578,6,1
8180,7,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
779,1,0
0,0,1
1332,1,0
0,0,1
3931,1,1
4482,2,0
5799,3,1
6928,4,1
0,0,1
0,0,1
863,1,0
0,0,0
1582,1,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
1332,1,0
0,0,1
1023,1,0
0,0,1
2293,1,1
3683,2,0
4047,3,0
5413,4,0
5744,5,0
6822,6,0
0,0,0
1332,1,0
0,0,1
0,0,0
0,0,1
0,0,1
2975,1,0
3993,2,1
4810,3,0
0,0,0
0,0,1
0,0,1
3877,1,0
4993,2,0
5124,3,1
6073,4,1
7290,5,0
0,0,0
0,0,0
863,1,0
1829,2,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1582,1,0
2920,2,0
0,0,0
