cumulative_distance,n_game_road_trip,win?
495,1,0
1273,2,1
0,0,1
577,1,1
0,0,1
0,0,1
0,0,1
0,0,1
651,1,1
1831,2,0
2237,3,0
0,0,1
0,0,1
0,0,1
306,1,0
1253,2,1
0,0,1
0,0,0
1491,1,0
2569,2,0
0,0,1
1444,1,1
3242,2,1
0,0,1
0,0,1
0,0,1
3484,1,0
4347,2,0
5968,3,1
6912,4,1
0,0,1
0,0,1
491,1,1
1993,2,1
3578,3,1
5665,4,1
6076,5,0
6381,6,1
0,0,0
657,1,1
0,0,1
0,0,0
0,0,1
0,0,1
145,1,1
0,0,1
184,1,1
786,2,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
1531,1,1
0,0,0
0,0,1
306,1,0
871,2,0
0,0,1
0,0,1
0,0,1
0,0,0
3378,1,1
3961,2,1
3961,3,1
6715,4,0
0,0,1
1444,1,1
1775,2,0
0,0,1
0,0,1
657,1,0
665,2,1
0,0,0
0,0,1
895,1,1
0,0,1
540,1,1
1260,2,0
1925,3,0
0,0,1
0,0,0
